Sl No.,Pump,A Side Fixture,B Side Fixture,Final Torquing Fixture,Position Pin Dia
1,R983085082,0804HZ8418,,R983042897/ R983106852,
2,R983085405,0804HZ8418,,R983042897/ R983106852,
3,R983102013,0804HZ8418,,R983042897/ R983106852,
4,R983103183,0804HZ8418,,R983042897/ R983106852,
5,R983105228,0804HZ8418,,R983042897/ R983106852,
6,R983109179,0804HZ8418,,R983042897/ R983106852,
8,R983079191,0804HZ8418,,R983042897/ R983106852,
9,R983086462,0804HZ8418,,R983042897/ R983106852,
10,R983088754,0804HZ8418,,R983042897/ R983106852,
11,R983094605,0804HZ8418,,R983042897/ R983106852,
12,R983102267,0804HZ8418,,R983042897/ R983106852,
13,R983102659,0804HZ8418,,R983042897/ R983106852,
14,R983107287,0804HZ8418,,R983042897/ R983106852,
15,R983108928,0804HZ8418,,R983042897/ R983106852,
16,9510290034,0804HZ8418,,R983042897/ R983106852,
17,9510290137,0804HZ8418,,R983042897/ R983106852,
18,9510290401,0804HZ8418,,R983042897/ R983106852,
19,B510E40489,0804HZ8418,,R983042897/ R983106852,
22,R983070727,0804HZ8418,,R983042897/ R983106852,
23,R983079190,0804HZ8418,,R983042897/ R983106852,
24,R983079190,0804HZ8418,,R983042897/ R983106852,
25,R983104788,M1161010_A,,M1151010,
26,R983107756,M1161010_A,,M1151010,
27,R983107757,M1161010_A,,M1151010,
34,R983106392,M1161003,,M1151003,
40,R983112054,,,M1151016,
41,R983099194,M1161001,,M1151001,
52,R983056737,M1161004,,M1151004,
58,R983093454,0804HZ8418,,R983042897/ R983106852,
59,R983096892,0804HZ8418,,R983042897/ R983106852,
60,R983095296,0804HZ8418,,R983042897/ R983106852,
61,R983100435,0804HZ8418,,R983042897/ R983106852,
62,R983085691,M1161008,,M1151008,
63,R983094190,M1161008,,M1151008,
65,R983090781,0804HZ8418,,R983042897/ R983106852,
67,R983104327,M1161004,,M1151004,
68,R983096499,M1161003,,M1151003,
69,R983106289,M1161003,,M1151003,
70,R983106865,M1161001,,M1151001,
71,R983107285,M1161001,,M1151001,
72,R983107284,M1161001,,M1151001,
73,R983107283,M1161007,,M1151007,
74,R983106852,0804HZ8418,,R983042897/ R983106852,
75,R983107286,M1161002,,M1151002,
76,R983107522,M1161002,,M1151002,
83,R983031845,0804HZ8418,,R983042897/ R983106852,
84,R983044283,0804HZ8418,,R983042897/ R983106852,
85,R983044556,0804HZ8418,,R983042897/ R983106852,
86,R983072291,0804HZ8418,,R983042897/ R983106852,
91,R983042897,0804HZ8418,,R983042897/ R983106852,
92,R983067913,0804HZ8418,,R983042897/ R983106852,
93,R983077949,0804HZ8418,,R983042897/ R983106852,
94,R983089519,0804HZ8418,,R983042897/ R983106852,
95,R983098570,0804HZ8418,,R983042897/ R983106852,
98,R983045845,0804HZ8418,,R983042897/ R983106852,
99,R983068719,0804HZ8418,,R983042897/ R983106852,
100,R983069491,M1161004,,M1151004,
101,R983087715,M1161004,,M1151004,
104,R983060547,0804HZ8418,,R983042897/ R983106852,
105,R983087719,0804HZ8418,,R983042897/ R983106852,
107,R983067195,M1161005,,M1151005,
108,R983073427,M1161005,,M1151005,
109,R983107025,M1161005,,M1151005,
110,R983107288,M1161005,,M1151005,
113,R983035530,M1161007,,M1151007,
114,R983067923,M1161007,,M1151007,
115,R983092400,M1161007,,M1151007,
118,R983035531,M1161001,,M1151001,
119,R983065098,M1161001,,M1151001,
120,R983068738,M1161001,,M1151001,
121,R983078146,M1161001,,M1151001,
122,R983087951,M1161001,,M1151001,
123,R983105280,M1161001,,M1151001,
124,R983078661,M1161001,,M1151001,
125,R983108580,M1161001,,M1151001,
127,R983077084,M1161007,,M1151007,
128,R983087718,M1161007,,M1151007,
134,R983074010,M1161012_A,,M1151012,
135,R983077930,M1161007,,M1151007,
136,R983080690,0804HZ8418,,R983042897/ R983106852,
137,R983086354,0804HZ8418,,R983042897/ R983106852,
138,R983075704,M1161001,,M1151001,
139,R983077469,0804HZ8420,,R983077469,
140,R983106850,0804HZ8418,,R983042897/ R983106852,
